Actual values,Predicted values 
"[17.368000030517578, 18.566999435424805, 18.55900001525879, 17.99799919128418, 17.534000396728516, 18.68199920654297, 18.232999801635742, 18.900999069213867, 18.575000762939453, 18.041000366210938, 18.43600082397461, 18.565000534057617, 18.420000076293945, 17.881000518798828, 17.2450008392334, 17.65399932861328, 18.530000686645508]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[17.368000030517578, 18.566999435424805, 18.34600067138672, 17.840999603271484, 17.363000869750977, 18.68199920654297, 18.232999801635742, 18.900999069213867, 18.575000762939453, 18.041000366210938, 18.43600082397461, 18.565000534057617, 18.420000076293945, 17.881000518798828, 17.2450008392334, 17.65399932861328, 18.530000686645508]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[17.368000030517578, 18.454999923706055, 18.34600067138672, 17.840999603271484, 17.363000869750977, 18.68199920654297, 18.232999801635742, 18.900999069213867, 18.575000762939453, 18.041000366210938, 18.43600082397461, 18.565000534057617, 18.420000076293945, 17.670000076293945, 17.2450008392334, 17.65399932861328, 18.530000686645508]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[17.368000030517578, 18.454999923706055, 18.34600067138672, 17.840999603271484, 17.363000869750977, 18.68199920654297, 18.232999801635742, 18.900999069213867, 18.575000762939453, 18.041000366210938, 18.43600082397461, 18.565000534057617, 18.420000076293945, 17.670000076293945, 17.034000396728516, 17.65399932861328, 18.40399932861328]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[17.226999282836914, 18.454999923706055, 18.34600067138672, 17.840999603271484, 17.363000869750977, 18.542999267578125, 18.118999481201172, 18.832000732421875, 18.575000762939453, 17.801000595092773, 18.43600082397461, 18.45199966430664, 18.319000244140625, 17.670000076293945, 17.034000396728516, 17.65399932861328, 18.40399932861328]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[17.226999282836914, 18.454999923706055, 18.34600067138672, 17.840999603271484, 17.363000869750977, 18.542999267578125, 18.118999481201172, 18.832000732421875, 18.420000076293945, 17.801000595092773, 18.25200080871582, 18.45199966430664, 18.319000244140625, 17.670000076293945, 17.034000396728516, 17.423999786376953, 18.40399932861328]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[17.226999282836914, 18.454999923706055, 18.20400047302246, 17.64299964904785, 17.19499969482422, 18.542999267578125, 18.118999481201172, 18.832000732421875, 18.420000076293945, 17.801000595092773, 18.25200080871582, 18.45199966430664, 18.319000244140625, 17.670000076293945, 17.034000396728516, 17.423999786376953, 18.40399932861328]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[17.226999282836914, 18.454999923706055, 18.20400047302246, 17.64299964904785, 17.19499969482422, 18.542999267578125, 18.118999481201172, 18.832000732421875, 18.420000076293945, 17.801000595092773, 18.25200080871582, 18.45199966430664, 18.319000244140625, 17.525999069213867, 17.034000396728516, 17.423999786376953, 18.40399932861328]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[17.226999282836914, 18.33799934387207, 18.20400047302246, 17.64299964904785, 17.19499969482422, 18.542999267578125, 18.118999481201172, 18.832000732421875, 18.420000076293945, 17.801000595092773, 18.25200080871582, 18.45199966430664, 18.319000244140625, 17.525999069213867, 17.034000396728516, 17.423999786376953, 18.231000900268555]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[17.156999588012695, 18.33799934387207, 18.20400047302246, 17.64299964904785, 17.19499969482422, 18.343000411987305, 17.993000030517578, 18.732999801635742, 18.420000076293945, 17.66200065612793, 18.25200080871582, 18.45199966430664, 18.16699981689453, 17.525999069213867, 16.9060001373291, 17.423999786376953, 18.231000900268555]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[17.156999588012695, 18.33799934387207, 18.20400047302246, 17.64299964904785, 17.19499969482422, 18.343000411987305, 17.993000030517578, 18.732999801635742, 18.249000549316406, 17.66200065612793, 18.08099937438965, 18.45199966430664, 18.16699981689453, 17.525999069213867, 16.9060001373291, 17.268999099731445, 18.231000900268555]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[17.156999588012695, 18.33799934387207, 18.062000274658203, 17.486000061035156, 17.010000228881836, 18.343000411987305, 17.993000030517578, 18.732999801635742, 18.249000549316406, 17.66200065612793, 18.08099937438965, 18.45199966430664, 18.16699981689453, 17.525999069213867, 16.9060001373291, 17.268999099731445, 18.231000900268555]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[17.156999588012695, 18.33799934387207, 18.062000274658203, 17.486000061035156, 17.010000228881836, 18.343000411987305, 17.993000030517578, 18.732999801635742, 18.249000549316406, 17.66200065612793, 18.08099937438965, 18.45199966430664, 18.16699981689453, 17.327999114990234, 16.9060001373291, 17.268999099731445, 18.231000900268555]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[17.156999588012695, 18.225000381469727, 18.062000274658203, 17.486000061035156, 17.010000228881836, 18.343000411987305, 17.993000030517578, 18.732999801635742, 18.249000549316406, 17.66200065612793, 18.08099937438965, 18.45199966430664, 18.16699981689453, 17.327999114990234, 16.9060001373291, 17.268999099731445, 18.231000900268555]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[17.156999588012695, 18.225000381469727, 18.062000274658203, 17.486000061035156, 17.010000228881836, 18.343000411987305, 17.881000518798828, 18.60700035095215, 18.249000549316406, 17.50200080871582, 18.08099937438965, 18.208999633789062, 18.054000854492188, 17.327999114990234, 16.735000610351562, 17.268999099731445, 18.076000213623047]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[17.058000564575195, 18.225000381469727, 18.062000274658203, 17.486000061035156, 17.010000228881836, 18.201000213623047, 17.881000518798828, 18.60700035095215, 18.136999130249023, 17.50200080871582, 17.9689998626709, 18.208999633789062, 18.054000854492188, 17.327999114990234, 16.735000610351562, 17.117000579833984, 18.076000213623047]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[17.058000564575195, 18.225000381469727, 17.937000274658203, 17.347000122070312, 16.898000717163086, 18.201000213623047, 17.881000518798828, 18.60700035095215, 18.136999130249023, 17.50200080871582, 17.9689998626709, 18.208999633789062, 18.054000854492188, 17.327999114990234, 16.735000610351562, 17.117000579833984, 18.076000213623047]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[17.058000564575195, 18.225000381469727, 17.937000274658203, 17.347000122070312, 16.898000717163086, 18.201000213623047, 17.881000518798828, 18.60700035095215, 18.136999130249023, 17.50200080871582, 17.9689998626709, 18.208999633789062, 18.054000854492188, 17.327999114990234, 16.735000610351562, 17.117000579833984, 18.076000213623047]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[17.058000564575195, 18.113000869750977, 17.937000274658203, 17.347000122070312, 16.898000717163086, 18.201000213623047, 17.881000518798828, 18.60700035095215, 18.136999130249023, 17.50200080871582, 17.9689998626709, 18.208999633789062, 18.054000854492188, 17.187000274658203, 16.735000610351562, 17.117000579833984, 18.076000213623047]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[17.058000564575195, 18.113000869750977, 17.937000274658203, 17.347000122070312, 16.898000717163086, 18.201000213623047, 17.81100082397461, 18.60700035095215, 18.136999130249023, 17.41900062561035, 17.9689998626709, 18.208999633789062, 18.054000854492188, 17.187000274658203, 16.663000106811523, 17.117000579833984, 17.964000701904297]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.933000564575195, 18.113000869750977, 17.937000274658203, 17.347000122070312, 16.898000717163086, 18.086999893188477, 17.81100082397461, 18.479000091552734, 18.024999618530273, 17.41900062561035, 17.9689998626709, 18.08099937438965, 17.913000106811523, 17.187000274658203, 16.663000106811523, 16.98900032043457, 17.964000701904297]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.933000564575195, 18.113000869750977, 17.937000274658203, 17.347000122070312, 16.898000717163086, 18.086999893188477, 17.81100082397461, 18.479000091552734, 18.024999618530273, 17.41900062561035, 17.8700008392334, 18.08099937438965, 17.913000106811523, 17.187000274658203, 16.663000106811523, 16.98900032043457, 17.964000701904297]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.933000564575195, 18.113000869750977, 17.795000076293945, 17.26099967956543, 16.797000885009766, 18.086999893188477, 17.81100082397461, 18.479000091552734, 18.024999618530273, 17.41900062561035, 17.8700008392334, 18.08099937438965, 17.913000106811523, 17.187000274658203, 16.663000106811523, 16.98900032043457, 17.964000701904297]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.933000564575195, 18.013999938964844, 17.795000076293945, 17.26099967956543, 16.797000885009766, 18.086999893188477, 17.81100082397461, 18.479000091552734, 18.024999618530273, 17.41900062561035, 17.8700008392334, 18.08099937438965, 17.913000106811523, 17.117000579833984, 16.663000106811523, 16.98900032043457, 17.964000701904297]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.933000564575195, 18.013999938964844, 17.795000076293945, 17.26099967956543, 16.797000885009766, 18.086999893188477, 17.7549991607666, 18.479000091552734, 18.024999618530273, 17.41900062561035, 17.8700008392334, 18.08099937438965, 17.913000106811523, 17.117000579833984, 16.62299919128418, 16.98900032043457, 17.937000274658203]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.90399932861328, 18.013999938964844, 17.795000076293945, 17.26099967956543, 16.797000885009766, 17.988000869750977, 17.7549991607666, 18.36400032043457, 18.024999618530273, 17.41900062561035, 17.8700008392334, 17.940000534057617, 17.757999420166016, 17.117000579833984, 16.62299919128418, 16.98900032043457, 17.937000274658203]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.90399932861328, 18.013999938964844, 17.795000076293945, 17.26099967956543, 16.797000885009766, 17.988000869750977, 17.7549991607666, 18.36400032043457, 17.98200035095215, 17.41900062561035, 17.81399917602539, 17.940000534057617, 17.757999420166016, 17.117000579833984, 16.62299919128418, 16.97599983215332, 17.937000274658203]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.90399932861328, 18.013999938964844, 17.73900032043457, 17.26099967956543, 16.725000381469727, 17.988000869750977, 17.7549991607666, 18.36400032043457, 17.98200035095215, 17.41900062561035, 17.81399917602539, 17.940000534057617, 17.757999420166016, 17.117000579833984, 16.62299919128418, 16.97599983215332, 17.937000274658203]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.90399932861328, 18.013999938964844, 17.73900032043457, 17.26099967956543, 16.725000381469727, 17.988000869750977, 17.7549991607666, 18.36400032043457, 17.98200035095215, 17.41900062561035, 17.81399917602539, 17.940000534057617, 17.757999420166016, 17.073999404907227, 16.62299919128418, 16.97599983215332, 17.937000274658203]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.90399932861328, 17.916000366210938, 17.73900032043457, 17.26099967956543, 16.725000381469727, 17.988000869750977, 17.683000564575195, 18.36400032043457, 17.98200035095215, 17.250999450683594, 17.81399917602539, 17.940000534057617, 17.757999420166016, 17.073999404907227, 16.566999435424805, 16.97599983215332, 17.80900001525879]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.874000549316406, 17.916000366210938, 17.73900032043457, 17.26099967956543, 16.725000381469727, 17.905000686645508, 17.683000564575195, 18.27899932861328, 17.98200035095215, 17.250999450683594, 17.81399917602539, 17.8700008392334, 17.674999237060547, 17.073999404907227, 16.566999435424805, 16.97599983215332, 17.80900001525879]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.874000549316406, 17.916000366210938, 17.73900032043457, 17.26099967956543, 16.725000381469727, 17.905000686645508, 17.683000564575195, 18.27899932861328, 17.884000778198242, 17.250999450683594, 17.659000396728516, 17.8700008392334, 17.674999237060547, 17.073999404907227, 16.566999435424805, 16.961999893188477, 17.80900001525879]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.874000549316406, 17.916000366210938, 17.62700080871582, 17.132999420166016, 16.61199951171875, 17.905000686645508, 17.683000564575195, 18.27899932861328, 17.884000778198242, 17.250999450683594, 17.659000396728516, 17.8700008392334, 17.674999237060547, 17.073999404907227, 16.566999435424805, 16.961999893188477, 17.80900001525879]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.874000549316406, 17.916000366210938, 17.62700080871582, 17.132999420166016, 16.61199951171875, 17.905000686645508, 17.683000564575195, 18.27899932861328, 17.884000778198242, 17.250999450683594, 17.659000396728516, 17.8700008392334, 17.674999237060547, 17.073999404907227, 16.566999435424805, 16.961999893188477, 17.80900001525879]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.874000549316406, 17.84600067138672, 17.62700080871582, 17.132999420166016, 16.61199951171875, 17.905000686645508, 17.60099983215332, 18.27899932861328, 17.884000778198242, 17.165000915527344, 17.659000396728516, 17.8700008392334, 17.674999237060547, 16.97599983215332, 16.468000411987305, 16.961999893188477, 17.72599983215332]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.788999557495117, 17.84600067138672, 17.62700080871582, 17.132999420166016, 16.61199951171875, 17.905000686645508, 17.60099983215332, 18.208999633789062, 17.884000778198242, 17.165000915527344, 17.659000396728516, 17.770999908447266, 17.586999893188477, 16.97599983215332, 16.468000411987305, 16.961999893188477, 17.72599983215332]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.788999557495117, 17.84600067138672, 17.62700080871582, 17.132999420166016, 16.61199951171875, 17.805999755859375, 17.60099983215332, 18.208999633789062, 17.770999908447266, 17.165000915527344, 17.618999481201172, 17.770999908447266, 17.586999893188477, 16.97599983215332, 16.468000411987305, 16.86400032043457, 17.72599983215332]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.788999557495117, 17.84600067138672, 17.525999069213867, 17.07699966430664, 16.555999755859375, 17.805999755859375, 17.60099983215332, 18.208999633789062, 17.770999908447266, 17.165000915527344, 17.618999481201172, 17.770999908447266, 17.586999893188477, 16.97599983215332, 16.468000411987305, 16.86400032043457, 17.72599983215332]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.788999557495117, 17.84600067138672, 17.525999069213867, 17.07699966430664, 16.555999755859375, 17.805999755859375, 17.60099983215332, 18.208999633789062, 17.770999908447266, 17.165000915527344, 17.618999481201172, 17.770999908447266, 17.586999893188477, 16.97599983215332, 16.468000411987305, 16.86400032043457, 17.72599983215332]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.788999557495117, 17.76099967956543, 17.525999069213867, 17.07699966430664, 16.555999755859375, 17.805999755859375, 17.60099983215332, 18.208999633789062, 17.770999908447266, 17.06599998474121, 17.618999481201172, 17.770999908447266, 17.586999893188477, 16.90399932861328, 16.426000595092773, 16.86400032043457, 17.72599983215332]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.716999053955078, 17.76099967956543, 17.525999069213867, 17.07699966430664, 16.555999755859375, 17.805999755859375, 17.525999069213867, 18.097000122070312, 17.770999908447266, 17.06599998474121, 17.618999481201172, 17.770999908447266, 17.586999893188477, 16.90399932861328, 16.426000595092773, 16.86400032043457, 17.62700080871582]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.716999053955078, 17.76099967956543, 17.525999069213867, 17.07699966430664, 16.555999755859375, 17.707000732421875, 17.525999069213867, 18.097000122070312, 17.68899917602539, 17.06599998474121, 17.50200080871582, 17.67300033569336, 17.503999710083008, 16.90399932861328, 16.426000595092773, 16.749000549316406, 17.62700080871582]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.716999053955078, 17.76099967956543, 17.525999069213867, 16.97800064086914, 16.45800018310547, 17.707000732421875, 17.525999069213867, 18.097000122070312, 17.68899917602539, 17.06599998474121, 17.50200080871582, 17.67300033569336, 17.503999710083008, 16.90399932861328, 16.426000595092773, 16.749000549316406, 17.62700080871582]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.716999053955078, 17.76099967956543, 17.44300079345703, 16.97800064086914, 16.45800018310547, 17.707000732421875, 17.525999069213867, 18.097000122070312, 17.68899917602539, 17.06599998474121, 17.50200080871582, 17.67300033569336, 17.503999710083008, 16.90399932861328, 16.426000595092773, 16.749000549316406, 17.62700080871582]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.716999053955078, 17.69099998474121, 17.44300079345703, 16.97800064086914, 16.45800018310547, 17.707000732421875, 17.525999069213867, 18.097000122070312, 17.68899917602539, 16.996999740600586, 17.50200080871582, 17.67300033569336, 17.503999710083008, 16.802000045776367, 16.426000595092773, 16.749000549316406, 17.62700080871582]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.716999053955078, 17.69099998474121, 17.44300079345703, 16.97800064086914, 16.45800018310547, 17.707000732421875, 17.45599937438965, 17.985000610351562, 17.68899917602539, 16.996999740600586, 17.50200080871582, 17.67300033569336, 17.503999710083008, 16.802000045776367, 16.312999725341797, 16.749000549316406, 17.511999130249023]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.660999298095703, 17.69099998474121, 17.44300079345703, 16.97800064086914, 16.45800018310547, 17.59000015258789, 17.45599937438965, 17.985000610351562, 17.558000564575195, 16.996999740600586, 17.50200080871582, 17.570999145507812, 17.375999450683594, 16.802000045776367, 16.312999725341797, 16.749000549316406, 17.511999130249023]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.660999298095703, 17.69099998474121, 17.44300079345703, 16.909000396728516, 16.371999740600586, 17.59000015258789, 17.45599937438965, 17.985000610351562, 17.558000564575195, 16.996999740600586, 17.375999450683594, 17.570999145507812, 17.375999450683594, 16.802000045776367, 16.312999725341797, 16.663000106811523, 17.511999130249023]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.660999298095703, 17.69099998474121, 17.3439998626709, 16.909000396728516, 16.371999740600586, 17.59000015258789, 17.45599937438965, 17.985000610351562, 17.558000564575195, 16.996999740600586, 17.375999450683594, 17.570999145507812, 17.375999450683594, 16.802000045776367, 16.312999725341797, 16.663000106811523, 17.511999130249023]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.660999298095703, 17.69099998474121, 17.3439998626709, 16.909000396728516, 16.371999740600586, 17.59000015258789, 17.45599937438965, 17.985000610351562, 17.558000564575195, 16.868999481201172, 17.375999450683594, 17.570999145507812, 17.375999450683594, 16.690000534057617, 16.312999725341797, 16.663000106811523, 17.511999130249023]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.660999298095703, 17.576000213623047, 17.3439998626709, 16.909000396728516, 16.371999740600586, 17.59000015258789, 17.399999618530273, 17.899999618530273, 17.558000564575195, 16.868999481201172, 17.375999450683594, 17.570999145507812, 17.375999450683594, 16.690000534057617, 16.22800064086914, 16.663000106811523, 17.427000045776367]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.590999603271484, 17.576000213623047, 17.3439998626709, 16.909000396728516, 16.371999740600586, 17.520000457763672, 17.399999618530273, 17.899999618530273, 17.475000381469727, 16.868999481201172, 17.375999450683594, 17.472000122070312, 17.263999938964844, 16.690000534057617, 16.22800064086914, 16.663000106811523, 17.427000045776367]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.590999603271484, 17.576000213623047, 17.3439998626709, 16.822999954223633, 16.371999740600586, 17.520000457763672, 17.399999618530273, 17.899999618530273, 17.475000381469727, 16.868999481201172, 17.263999938964844, 17.472000122070312, 17.263999938964844, 16.690000534057617, 16.22800064086914, 16.621000289916992, 17.427000045776367]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.590999603271484, 17.576000213623047, 17.288000106811523, 16.822999954223633, 16.30299949645996, 17.520000457763672, 17.399999618530273, 17.899999618530273, 17.475000381469727, 16.868999481201172, 17.263999938964844, 17.472000122070312, 17.263999938964844, 16.690000534057617, 16.22800064086914, 16.621000289916992, 17.427000045776367]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.590999603271484, 17.576000213623047, 17.288000106811523, 16.822999954223633, 16.30299949645996, 17.520000457763672, 17.399999618530273, 17.899999618530273, 17.475000381469727, 16.868999481201172, 17.263999938964844, 17.472000122070312, 17.263999938964844, 16.690000534057617, 16.22800064086914, 16.621000289916992, 17.427000045776367]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.590999603271484, 17.534000396728516, 17.288000106811523, 16.822999954223633, 16.30299949645996, 17.520000457763672, 17.33099937438965, 17.81399917602539, 17.475000381469727, 16.826000213623047, 17.263999938964844, 17.472000122070312, 17.263999938964844, 16.634000778198242, 16.159000396728516, 16.621000289916992, 17.327999114990234]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[16.52199935913086, 17.534000396728516, 17.288000106811523, 16.822999954223633, 16.30299949645996, 17.434999465942383, 17.33099937438965, 17.81399917602539, 17.375999450683594, 16.826000213623047, 17.263999938964844, 17.386999130249023, 17.19499969482422, 16.634000778198242, 16.159000396728516, 16.621000289916992, 17.327999114990234]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
